market,timestamp,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
Overall Market,2016-02-03 01:50:51.494399,50.7683,-79.4494,156.5174,-206.4862,252.3407,-244.5105,236.8810,-166.0612
Overall Market,2016-02-03 05:46:38.293573,187.9770,-260.8412,592.9610,-723.3500,908.2834,-888.3187,822.0756,-638.7872
大盘资金流向(中小板),2016-02-03 05:47:13.394573,46.6585,-60.5872,146.9577,-179.4088,231.6492,-231.4290,218.0454,-171.8859
大盘资金流向(深市),2016-02-03 05:46:01.254573,118.7444,-157.9756,362.7650,-444.6403,557.7418,-547.6425,498.9666,-387.9594
大盘资金流向(深市),2016-02-03 01:51:17.882399,33.0710,-49.0023,96.8032,-127.9092,155.8003,-151.2269,143.9494,-101.4855
大盘资金流向(沪市),2016-02-03 05:44:46.927573,68.4234,-100.9691,226.3679,-273.9020,344.0708,-334.7701,317.0677,-246.2886
大盘资金流向(沪市),2016-02-03 01:51:30.693398,17.6972,-30.4471,59.7142,-78.5770,96.5404,-93.2835,92.9315,-64.5756
大盘资金流向(创业板),2016-02-03 01:51:07.616399,7.2349,-13.4253,28.4247,-38.0859,46.8130,-44.2552,40.4682,-27.1745
大盘资金流向(创业板),2016-02-03 05:44:55.231573,27.5200,-43.2767,108.5705,-135.2683,167.5904,-160.4967,140.6362,-105.2753
