market,timestamp,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
Overall Market,2016-02-01 06:47:58.802489,240.5948,-371.2252,804.8124,-997.9187,1269.5901,-1238.3470,1154.6839,-862.1903
大盘资金流向(深市),2016-02-01 06:48:19.401489,141.2355,-201.2110,477.6468,-591.4845,764.0199,-752.3669,684.3668,-522.2066
大盘资金流向(沪市),2016-02-01 06:48:29.173489,99.1784,-169.7577,326.1599,-405.4854,504.1294,-484.4321,468.9929,-338.7854
大盘资金流向(创业板),2016-02-01 06:48:09.819489,37.4334,-53.5398,137.2271,-174.4502,223.5796,-216.1471,183.4482,-137.5512
