market,timestamp,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
Overall Market,2016-02-05 05:52:46.910000,211.3726,-268.2519,606.9047,-705.8418,903.6768,-889.2238,799.7000,-658.3365
大盘资金流向(中小板),2016-02-05 05:53:36.630000,55.0950,-71.2644,158.9844,-185.5947,247.0638,-244.5175,224.1255,-183.8920
大盘资金流向(深市),2016-02-05 05:53:11.994000,124.4349,-164.7039,369.6375,-437.9282,564.3396,-554.1710,497.0454,-398.6542
大盘资金流向(沪市),2016-02-05 05:53:25.264000,87.7713,-104.2228,239.4139,-269.9910,342.1987,-337.9912,304.8118,-261.9908
大盘资金流向(创业板),2016-02-05 05:52:56.993000,21.5535,-32.1839,92.3193,-117.4110,153.9191,-149.9323,133.1241,-101.3887
